iter	Logloss
0	0.6604238058
1	0.6332768068
2	0.6097797612
3	0.5876201823
4	0.5700407459
5	0.5534315367
6	0.5387286053
7	0.5264509974
8	0.5155781173
9	0.5029122513
10	0.494059601
11	0.4859307665
12	0.4791272787
13	0.4728953536
14	0.4681515523
15	0.4629753647
16	0.4572010957
17	0.453391554
18	0.4497153765
19	0.4464273561
20	0.4430914935
21	0.4403072892
22	0.4375890816
23	0.434282884
24	0.4318263269
25	0.429642572
26	0.4276674093
27	0.4258548196
28	0.4240082216
29	0.4221829591
30	0.4207407341
31	0.4184622427
32	0.4164538244
33	0.4149498055
34	0.4134979522
35	0.4123194308
36	0.411388299
37	0.4104121592
38	0.4092278925
39	0.4083699385
40	0.4072186156
41	0.4064245419
42	0.4056573401
43	0.4049130859
44	0.4035841964
45	0.4026461479
46	0.401772489
47	0.4012236205
48	0.4007293617
49	0.4001896778
50	0.3992381651
51	0.3985393084
52	0.3976093964
53	0.3968628029
54	0.3962527352
55	0.3957480162
56	0.3951074218
57	0.3944916535
58	0.3939449116
59	0.3934577672
60	0.3931073022
61	0.3925956763
62	0.3920932534
63	0.3917453479
64	0.3915480399
65	0.3911395622
66	0.3905762602
67	0.3900279654
68	0.3896719141
69	0.3891801186
70	0.3884902686
71	0.3881818628
72	0.3878643368
73	0.3873600682
74	0.3868375749
75	0.3864209941
76	0.3859225143
77	0.3855839877
78	0.3852972844
79	0.3849614006
80	0.384717669
81	0.3841842599
82	0.3838942546
83	0.3835468453
84	0.3830828559
85	0.3825049237
86	0.3821970033
87	0.3817372742
88	0.3813648763
89	0.3810611668
90	0.3807487813
91	0.3803387888
92	0.3799857357
93	0.3795696725
94	0.3792408483
95	0.3789038791
96	0.37869047
97	0.3784061294
98	0.3779886982
99	0.3778034422
100	0.3775481134
101	0.3773092019
102	0.3769292639
103	0.3766068368
104	0.3762378048
105	0.3758296287
106	0.3754833718
107	0.3749643183
108	0.3744774883
109	0.374212791
110	0.3738592079
111	0.3733258131
